Gene,log2FC,p-value
SCO1,-1.1415919252467903,0.005607912846361155
TM7SF3,-1.269189551690363,0.005672801878800943
PMM2,-0.944222358226892,0.00568004205025738
CERS2,-2.1499558387100017,0.00572194773212883
PAK4,-1.64394315295816,0.005862660454313689
RGNEF,-2.6129629971318638,0.006002060402548292
MICU1,-0.8127155553685483,0.006057143284172189
FOXA1,-3.854789431877775,0.006194272153505436
SH3BP4,-1.8481857711393364,0.006198006411153331
C1orf27,-1.6018010863557248,0.006198646051431262
GEMIN5,-1.3769785472539442,0.006202749717526871
PPIL4,-1.1479593650655069,0.006255144841081853
SLC23A1,-1.447610351483807,0.006286381881327986
SS18,-0.5224379169923736,0.006287070987060204
SLC29A3,-1.1030298030546173,0.0063488851664759436
FAM46A,-0.876239316777386,0.006453603653124008
CD79B,2.5004795253799177,0.006454893764846893
FUNDC2,-1.4051886008273349,0.006512566744210293
ING2,-1.0446481452858856,0.006514124440148498
UEVLD,-2.3375755803345486,0.006609947013227536
FMO5,-1.7862634104110795,0.006674744765247236
FGD2,1.3043899582431298,0.006698567650610863
"MIR621,SLC25A15",-1.1255700039808287,0.006716542117627687
SASH1,-2.2869230586924223,0.006751923915833551
BTBD3,-1.1940036446108144,0.006987242847579616
ZNF599,-0.8703845886419901,0.007060051746194365
IMMP1L,-2.3012301172461553,0.007075395983707554
DNAL1,-1.2929882077886172,0.007091553830730123
TULP4,-0.9960456841302978,0.007216457005697039
SAP18,-1.0782396385221213,0.007380167989087467
YAP1,-1.7451412599691898,0.007461978154508019
GATA3,-2.0299775038772188,0.00751412070444645
CCDC87,-1.7460236198754906,0.007559119582715285
AUTS2,-1.1015694989871343,0.007568028488648148
AP1M2,-2.6558565643174754,0.007573382415193742
CROT,-2.0815964116631047,0.007658127269673774
AHR,-2.1829167281165676,0.0076915392315471415
ROCK1P1,-2.3746642474312467,0.007695971084911217
SF3B14,-1.3483738053652772,0.007826453756302096
MFAP4,-2.0473012151740324,0.007918301704496263
BLMH,-1.7757510185974898,0.007933579657474798
NUDT7,-1.188826568217852,0.00805006796979722
KIF3C,-0.7914685600175319,0.008136399289874646
STON2,-2.6948972484471274,0.008139195429699878
CCDC103,-1.725327729739509,0.008294578973907049
NDUFA1,-1.3146023318993496,0.008430168799799916
CD2AP,-1.6239130183663277,0.008473924317322036
DCAF12,-1.3968196971633113,0.008547728264411896
YIPF6,-0.9609836918092305,0.008601022973861927
C1orf172,-1.6493914091886068,0.008667673500728354
SLC2A6,2.0698268261713593,0.00868232418152094
RASAL2,-1.7616152928439823,0.008705656859239467
C11orf74,-1.760104727476555,0.008936962124541406
ELMO2,1.9316450867130035,0.008954514934658863
ANKLE2,0.8309229429129736,0.008979557323332957
CRAT,-1.1502158448866475,0.009036264857387278
PSMC2,-1.731450305416959,0.009084861706266354
MAPRE3,-0.9051912811474399,0.009090724331975187
CYTH3,-1.2138866936417743,0.009219828472863924
TEAD3,-1.2443141115620766,0.009473929341836808
DDX51,0.5194565101348783,0.009654078659203614
TMEM26,-2.765774346300783,0.009828385416817187
LOC606724,1.8136721217015213,0.00988356528864626
TNNI2,2.1839541212449163,0.009891562130960844
SFXN2,-0.9981655432941618,0.009921650756145014
LOC100329109,-2.0924879217880172,0.00992505453801324
PCBD1,-1.7791077312866141,0.00993872619206564
PGRMC2,-1.0843273268563411,0.010017344741495533
SPATA6,-1.284506363910202,0.010093755710320104
GFOD1,0.6106891685495163,0.010156418142992497
PRCD,-2.250402429593837,0.010162653471073119
CXCL10,-2.181113629484287,0.01016387279748516
REEP5,-1.5563987597178048,0.010171954299215217
YWHAH,-1.041683900691595,0.01028689449084365
BCAP29,-1.1111829925332326,0.010298741249676176
CNBP,-1.548025741917895,0.010401349377628395
DPCD,-1.9441445179657353,0.010405460448406635
BLK,1.4815958591596408,0.010629131824371741
C17orf97,-1.5838338196712325,0.0106939427898645
CEP290,-2.468675224224299,0.010747916497219014
PTGR1,-1.8511461277674084,0.010754633997012457
ABHD4,-0.9521294738779433,0.010832049477024819
PDLIM5,-1.980105725850485,0.010925652302753159
TUSC3,-1.8314753994054969,0.010944841727593337
HILPDA,-1.6625399257261118,0.01097577084663044
TXNRD2,2.0707207045849962,0.010975887037104944
FAM159A,1.5204979766030422,0.011128841578357387
SPR,-1.6873120710397616,0.011148971570441363
MTCH2,-1.3297882925506177,0.01118321885606566
RPP38,-0.9177840722208561,0.011261872494327483
TANC1,-1.9219293341733248,0.011270859778691161
TMEM59,-2.0038279817395237,0.011332804268325005
HMGB3,-1.5463291015642024,0.011345539017550808
ZG16B,-3.077360966215832,0.012138219034201465
THRB,-1.6027424367860459,0.012296549178962344
SCML2,-1.594801490157811,0.012314026634321015
ITGAL,1.9359092352804108,0.012454672974317144
BBS5,-1.0809010698378914,0.012614500547627078
SLC45A4,-1.8451478549996294,0.012662924916386068
OVOL1,-2.11914722167019,0.012665950051067553
SGPL1,-1.5976925616963435,0.012671440659162023
NID1,-1.7827194117578085,0.012684093983985224
SLC17A9,0.9628212046824962,0.012793049467585913
PDZD11,-1.2438083678721372,0.012891754561175937
ZNF500,-1.1765763008429657,0.013058008099884545
NUMB,-1.5319545941972423,0.01310995859643298
TRIM26,-1.0994498561523414,0.0132226542826727
TERF1,-1.3300663845046532,0.013240816151845757
GLS2,-1.553939954268136,0.01327089682277891
RTN4,-1.817989815317774,0.013481861720598476
CNR2,2.3776315878985965,0.013637217614394148
KLHDC1,-1.8274305570201896,0.013703720514051158
"DBNDD2,SYS1,SYS1-DBNDD2",-1.9123913752150363,0.01374285189301382
EIF2C4,-0.9673813412040384,0.013908330345849325
TASP1,-0.6113187937330959,0.014218435080564609
EFNA1,-1.9450505739357218,0.014250375471589818
HES1,-1.3021599582729282,0.014543946937493757
SNX27,-1.2820349671263425,0.014797324369254244
BRCC3,-1.1128818174339192,0.014818653102182899
EPS15L1,-2.706455050018548,0.014917445044794624
KAT6B,-1.4749091218124073,0.014948460256337115
ATP6AP2,-1.4553543975526306,0.014969896840638035
ABHD2,-1.9513639474238857,0.01501418006265616
CLCC1,-0.9641718456364889,0.015203323857484158
TUSC1,-1.8603871532294722,0.015271871307328882
SPPL3,-0.715105702285106,0.015320714029035556
METTL21B,-1.1062150709368435,0.01534212936381142
PATL1,-1.4417654022672384,0.015381917543914596
C5orf15,-1.1313682419093998,0.01538996929754252
CHRDL1,-1.9372316273255317,0.015463586331410222
ARHGAP4,2.1048929590089003,0.015544643910243607
GPC4,-2.2972810692225014,0.015755243513628135
TCEAL2,1.193792261353855,0.015772895134690164
TMEM50A,-1.4793837920053203,0.01581290353720518
TUFT1,-2.507090972889858,0.015886756712263837
COQ5,-0.5896474433926215,0.01589040781277166
TRMU,1.6347753929002815,0.01591460248996916
NYNRIN,-1.4492133358298138,0.01594262159092667
FAHD1,-0.9282729010185578,0.015946140378654425
NQO1,-3.233547843045279,0.01609443382860192
PER2,-1.4746314332557757,0.016095689445610035
H2AFV,-1.4869651037511424,0.016154149906942677
NUP210,1.9678220039787515,0.01624428040888177
NCF4,1.7259132215051456,0.016252287334615666
FGFBP2,-1.6309490412608836,0.016294045193269553
GALNT3,-1.5355766038010454,0.016367793205925633
MMRN1,-1.9390248907232535,0.01654176960746931
C1orf115,-2.028202583957664,0.01661717720025043
MAP4K5,-1.337301469303128,0.016695106806782958
EPRS,-2.74720769247083,0.01683692125091126
ABL2,-0.8206007833514779,0.016960445741645364
CHCHD1,-0.7473570861874634,0.016976261038189687
HAUS1,-1.5036524603197075,0.017026179382413454
CKAP4,-1.1800123459505412,0.017040471782436152
C1orf135,-0.9830512271759769,0.017084141469791744
FAM86C2P,-1.0033690433620202,0.017261720659396275
GPR137,1.722494076479483,0.017287241104140365
S100A11,-2.0215533205978717,0.017347672456457994
SPINT1,-1.7655079976331023,0.017366664228549024
POU2F2,1.9140624649387048,0.017387952027757003
